COUNTY	STATE	# GUNS
SUMMIT	OH	20
WARREN	OH	20
ANCHORAGE	AK	19
BOONE	KY	19
DAKOTA	MN	19
LAFAYETTE	MS	19
MARION	MS	19
NEWPORT NEWS CITY	VA	19
OCONEE	GA	19
RILEY	KS	19
STEPHENSON	IL	19
VAN BUREN	MI	19
ANOKA	MN	18
ARAPAHOE	CO	18
CHARLESTON	SC	18
CLARK	OH	18
FULTON	KY	18
HARTFORD	CT	18
RAMSEY	MN	18
SAGINAW	MI	18
SAINT TAMMANY	LA	18
VIRGINIA BEACH CITY	VA	18
WAYNE	OH	18
CLARKE	MS	17
DYER	TN	17
FAULKNER	AR	17
GRANT	WI	17
GRUNDY	IL	17
HOUSTON	GA	17
HUMPHREYS	MS	17
LAUDERDALE	AL	17
LAWRENCE	IN	17
LEE	AL	17
MACOUPIN	IL	17
MCDONOUGH	IL	17
MCLENNAN	TX	17
NESHOBA	MS	17
STARK	OH	17
UTAH	UT	17
WALKER	AL	17
WASHINGTON	MN	17
BOONE	IL	16
CHICKASAW	MS	16
DESHA	AR	16
FAYETTE	IN	16
FULTON	IN	16
GRAVES	KY	16
HOPKINS	KY	16
IROQUOIS	IL	16
JACKSON	MS	16
KITSAP	WA	16
LICKING	OH	16
LIMESTONE	AL	16
LINCOLN	LA	16
MARION	OH	16
MARSHALL	IN	16
RUTHERFORD	TN	16
TALLADEGA	AL	16
ADAMS	CO	15
ADAMS	WI	15
BOONE	IN	15
BOSSIER	LA	15
BRAZORIA	TX	15
BRAZOS	TX	15
CARROLL	TN	15
CHATHAM	GA	15
FLOYD	GA	15
HENDERSON	KY	15
JENNINGS	IN	15
MCNAIRY	TN	15
MONROE	AR	15
NUECES	TX	15
SACRAMENTO	CA	15
SAINT BERNARD	LA	15
SEVIER	TN	15
SHAWANO	WI	15
STARKE	IN	15
UNION	AR	15
ADAMS	IL	14
ALLEN	OH	14
BENTON	AR	14
BREVARD	FL	14
CALHOUN	MS	14
CASCADE	MT	14
CLAY	IN	14
DOUGHERTY	GA	14
ERIE	NY	14
GIBSON	TN	14
JASPER	MS	14
LANCASTER	NE	14
LEON	FL	14
LOGAN	OH	14
LOGAN	WV	14
MORGAN	IN	14
NASSAU	NY	14
OBION	TN	14
OCONTO	WI	14
PRINCE GEORGES	MD	14
SAINT LOUIS	MN	14
SHELBY	IL	14
WASHOE	NV	14
BAXTER	AR	13
BULLITT	KY	13
CARSON CITY	NV	13
CASS	MI	13
CLINTON	IN	13
COLE	MO	13
CORYELL	TX	13
GREENVILLE	SC	13
JEFFERSON	TX	13
LEAKE	MS	13
LONOKE	AR	13
MARION	FL	13
OKALOOSA	FL	13
ORLEANS	LA	13
RICHLAND	SC	13
SAINT CHARLES	MO	13
SAINT JOSEPH	MI	13
SAINT LOUIS CITY	MO	13
VERMILLION	IN	13
WASHINGTON	PA	13
WOOD	OH	13
YELLOWSTONE	MT	13
YUMA	AZ	13
ASHLEY	AR	12
BARRON	WI	12
BOWIE	TX	12
BUREAU	IL	12
CHICOT	AR	12
COFFEE	AL	12
COLLIN	TX	12
COLUMBIA	WI	12
ERIE	OH	12
JOHNSON	KY	12
LAWRENCE	OH	12
MCMINN	TN	12
MIAMI	IN	12
MONROE	TN	12
RALEIGH	WV	12
WASHINGTON	TN	12
WEBB	TX	12
ANDERSON	TN	11
BUTLER	MO	11
CALCASIEU	LA	11
CARROLL	IN	11
CHESTERFIELD	VA	11
CLAIBORNE	MS	11
DARLINGTON	SC	11
DE KALB	AL	11
DENTON	TX	11
DEWITT	IL	11
EFFINGHAM	IL	11
FLOYD	IN	11
HUNTINGTON	IN	11
JACKSON	AL	11
JACKSON	IN	11
LAUREL	KY	11
LIVINGSTON	IL	11
MAYES	OK	11
ONEIDA	WI	11
PIKE	KY	11
PULASKI	IL	11
SCIOTO	OH	11
SMITH	TX	11
SPALDING	GA	11
STARK	IL	11
SUMTER	AL	11
TIPTON	TN	11
TROUP	GA	11
UNION	NC	11
VOLUSIA	FL	11
WARD	ND	11
WARREN	KY	11
WAUSHARA	WI	11
WEBSTER	KY	11
WILSON	TN	11
WOOD	WV	11
ALLEGAN	MI	10
BEDFORD	TN	10
BLOUNT	TN	10
BOULDER	CO	10
CLINTON	IA	10
CONTRA COSTA	CA	10
CRITTENDEN	KY	10
ESTILL	KY	10
GUILFORD	NC	10
HALL	GA	10
HANCOCK	IN	10
HARLAN	KY	10
HOUSTON	AL	10
JOHNSON	TX	10
LAFAYETTE	LA	10
LAKE	FL	10
LARIMER	CO	10
LEE	AR	10
LINCOLN	NE	10
MADISON	LA	10
MOREHOUSE	LA	10
NEW YORK	NY	10
PEARL RIVER	MS	10
PENNINGTON	SD	10
PUEBLO	CO	10
ROANE	TN	10
RUSSELL	KY	10
SAINT MARTIN	LA	10
SOLANO	CA	10
SULLIVAN	IN	10
TAYLOR	KY	10
TAYLOR	TX	10
WOODFORD	KY	10
YALOBUSHA	MS	10
ADA	ID	9
ALEXANDRIA CITY	VA	9
BARREN	KY	9
BEAUFORT	SC	9
BEAVER	PA	9
BOYLE	KY	9
CALDWELL	NC	9
CHAMBERS	AL	9
CHAMPAIGN	OH	9
CITRUS	FL	9
CLARE	MI	9
COCONINO	AZ	9
CONCORDIA	LA	9
DECATUR	IN	9
ESCAMBIA	AL	9
FAIRFIELD	CT	9
FAYETTE	IL	9
FLOYD	KY	9
FRANKLIN	TN	9
FULTON	OH	9
GALVESTON	TX	9
GILA	AZ	9
GREENE	AR	9
HERNANDO	FL	9
JEFFERSON	MO	9
KEMPER	MS	9
KERN	CA	9
LANCASTER	PA	9
LARAMIE	WY	9
LEE	IL	9
LIVINGSTON	KY	9
LOGAN	IL	9
LUBBOCK	TX	9
MEDINA	OH	9
MIDDLESEX	MA	9
MONTEREY	CA	9
MONTGOMERY	KY	9
MORGAN	IL	9
NELSON	KY	9
NEW HAVEN	CT	9
NEWTON	IN	9
PHILADELPHIA	PA	9
PICKENS	GA	9
POINSETT	AR	9
PULASKI	IN	9
ROCKINGHAM	NH	9
SEBASTIAN	AR	9
SNOHOMISH	WA	9
STEPHENS	OK	9
TIFT	GA	9
WAYNE	IL	9
WELLS	IN	9
WOLFE	KY	9
WOODBURY	IA	9
ANDERSON	SC	8
AUGLAIZE	OH	8
BALTIMORE	MD	8
BARRY	MI	8
BLUE EARTH	MN	8
BRADLEY	AR	8
BRANCH	MI	8
BUCKS	PA	8
CALDWELL	KY	8
CAPE GIRARDEAU	MO	8
CHEROKEE	GA	8
CHRISTIAN	IL	8
CLARK	WA	8
CLARKE	GA	8
CLAY	IL	8
CLAY	KY	8
CLAY	MO	8
CLINTON	IL	8
COLUMBIA	AR	8
COWETA	GA	8
CULLMAN	AL	8
DALE	AL	8
DODGE	NE	8
DUBOIS	IN	8
FORT BEND	TX	8
FRANKLIN	AL	8
FREEBORN	MN	8
GASTON	NC	8
GEARY	KS	8
GIBSON	IN	8
GORDON	GA	8
GRAND TRAVERSE	MI	8
GREEN	WI	8
GREGG	TX	8
HANCOCK	OH	8
HARDIN	TN	8
HARRISON	KY	8
HENDERSON	TN	8
HONOLULU	HI	8
JACKSON	AR	8
JACKSON	OH	8
LETCHER	KY	8
LOWNDES	GA	8
LUZERNE	PA	8
MADISON	NE	8
MANITOWOC	WI	8
MARENGO	AL	8
MARION	AL	8
MCCREARY	KY	8
MONROE	WI	8
OGLE	IL	8
OSCEOLA	FL	8
OTTAWA	MI	8
PORTAGE	OH	8
PORTAGE	WI	8
ROCKDALE	GA	8
SAINT CROIX	WI	8
SEMINOLE	FL	8
SPARTANBURG	SC	8
STEARNS	MN	8
SULLIVAN	TN	8
TISHOMINGO	MS	8
TRUMBULL	OH	8
UNION	IL	8
VILAS	WI	8
WICHITA	TX	8
ADAIR	KY	7
BENTON	MS	7
BENTON	TN	7
BERKS	PA	7
BONNEVILLE	ID	7
BUCHANAN	MO	7
CAMERON	TX	7
CARROLL	GA	7
CASS	ND	7
CATAWBA	NC	7
CERRO GORDO	IA	7
CLACKAMAS	OR	7
CLARK	KY	7
COVINGTON	AL	7
CRAWFORD	IL	7
DAVIDSON	NC	7
DELTA	MI	7
DUNKLIN	MO	7
EDGAR	IL	7
ERIE	PA	7
FORSYTH	NC	7
GEAUGA	OH	7
HIGHLAND	OH	7
HOCKING	OH	7
IONIA	MI	7
IOWA	WI	7
JEFFERSON	TN	7
JEFFERSON	WI	7
JUNEAU	WI	7
LEE	IA	7
MANATEE	FL	7
MARQUETTE	MI	7
MARSHALL	IA	7
MARSHALL	IL	7
MAURY	TN	7
MERCER	WV	7
MOHAVE	AZ	7
MONTCALM	MI	7
NOXUBEE	MS	7
OLMSTED	MN	7
PARKE	IN	7
PENDER	NC	7
POLK	TN	7
PONTOTOC	OK	7
POTTER	TX	7
PRICE	WI	7
PULASKI	MO	7
PUTNAM	IN	7
RICE	MN	7
RICHMOND CITY	VA	7
ROBERTSON	TN	7
SAN JOAQUIN	CA	7
SAN MATEO	CA	7
SARASOTA	FL	7
SHERBURNE	MN	7
SIMPSON	MS	7
SUMTER	SC	7
TAZEWELL	VA	7
TIPTON	IN	7
WAKE	NC	7
WASHBURN	WI	7
WHITE	AR	7
WHITE	IN	7
WOODFORD	IL	7
WYANDOTTE	KS	7
YORK	SC	7
BALDWIN	GA	6
BIBB	AL	6
BOURBON	KY	6
BRADLEY	TN	6
BROWN	IN	6
CAMPBELL	TN	6
CARTER	KY	6
CHEROKEE	AL	6
CLINTON	OH	6
COFFEE	TN	6
COLONIAL HEIGHTS CITY	VA	6
COVINGTON	MS	6
CRAWFORD	AR	6
CRAWFORD	OH	6
CROSS	AR	6
CURRY	NM	6
DAVIESS	IN	6
DICKSON	TN	6
DONA ANA	NM	6
DOUGLAS	WI	6
EATON	MI	6
ELMORE	AL	6
ESSEX	MA	6
FAYETTE	PA	6
FRANKLIN	LA	6
FRANKLIN	MO	6
FRESNO	CA	6
GREEN	KY	6
GREENE	AL	6
HANOVER	VA	6
HARDEMAN	TN	6
HENRY	GA	6
HENRY	IA	6
HICKMAN	TN	6
HIDALGO	TX	6
HIGHLANDS	FL	6
ISANTI	MN	6
JACKSON	MI	6
JOHNSON	AR	6
LAWRENCE	AR	6
LEWIS	WA	6
LEXINGTON	SC	6
LOGAN	KY	6
MARATHON	WI	6
MARION	TN	6
MARQUETTE	WI	6
MARTIN	FL	6
MECOSTA	MI	6
MINNEHAHA	SD	6
MISSOULA	MT	6
MONROE	NY	6
MONTGOMERY	KS	6
MULTNOMAH	OR	6
NATRONA	WY	6
NEW CASTLE	DE	6
NEW LONDON	CT	6
NORFOLK	MA	6
OHIO	KY	6
PETTIS	MO	6
PHELPS	MO	6
PIATT	IL	6
PINAL	AZ	6
PRAIRIE	AR	6
PREBLE	OH	6
RANDOLPH	IL	6
SAINT CLAIR	MI	6
SAN FRANCISCO	CA	6
SARPY	NE	6
SAWYER	WI	6
SCOTTS BLUFF	NE	6
SKAGIT	WA	6
ST JOHN THE BAPTIST	LA	6
STANISLAUS	CA	6
STODDARD	MO	6
SUSQUEHANNA	PA	6
TOOMBS	GA	6
VENTURA	CA	6
WALTHALL	MS	6
WASHINGTON	LA	6
WEAKLEY	TN	6
WESTCHESTER	NY	6
WILLIAMS	OH	6
YAKIMA	WA	6
ANNE ARUNDEL	MD	5
ASCENSION	LA	5
ASHE	NC	5
ASHTABULA	OH	5
BALDWIN	AL	5
BALLARD	KY	5
BENTON	IA	5
BERKELEY	SC	5
BLACKFORD	IN	5
BOONE	MO	5
BUTLER	KS	5
BUTLER	KY	5
CABARRUS	NC	5
CARLTON	MN	5
CARTER	TN	5
CARTERET	NC	5
CASS	MN	5
CHESTER	TN	5
CHEYENNE	NE	5
CLARK	WI	5
CLEARFIELD	PA	5
COCKE	TN	5
CRAVEN	NC	5
CUMBERLAND	TN	5
DOUGLAS	IL	5
FAYETTE	WV	5
FORSYTH	GA	5
FULTON	IL	5
GILES	TN	5
GRANT	KY	5
HAMILTON	IL	5
HANCOCK	KY	5
HANCOCK	MS	5
HERKIMER	NY	5
HORRY	SC	5
HOWELL	MO	5
INDEPENDENCE	AR	5
ISLE OF WIGHT	VA	5
JACKSON	WI	5
LA SALLE	LA	5
LAGRANGE	IN	5
LANGLADE	WI	5
LARUE	KY	5
LESLIE	KY	5
MARION	OR	5
MARION	WV	5
MCDOWELL	WV	5
MENOMINEE	MI	5
METCALFE	KY	5
MINGO	WV	5
MONONGALIA	WV	5
MONROE	MI	5
MONTGOMERY	IL	5
MONTGOMERY	VA	5
MUSKOGEE	OK	5
NEWTON	GA	5
NICHOLAS	WV	5
OLDHAM	KY	5
ORANGEBURG	SC	5
PASCO	FL	5
PEMISCOT	MO	5
PIKE	OH	5
PINE	MN	5
POLK	AR	5
RICHLAND	LA	5
ROGERS	OK	5
ROSS	OH	5
RUSSELL	AL	5
SAINT MARY	LA	5
SAN JUAN	NM	5
SANTA FE	NM	5
STAFFORD	VA	5
STORY	IA	5
TALLAPOOSA	AL	5
TAYLOR	GA	5
TEXAS	MO	5
THURSTON	WA	5
TURNER	SD	5
UNION	LA	5
VAN BUREN	AR	5
WARE	GA	5
WASHTENAW	MI	5
WAYNE	KY	5
WEBER	UT	5
WESTMORELAND	PA	5
WILLIAMSON	TN	5
WINONA	MN	5
WORCESTER	MA	5
ADAMS	IN	4
ADAMS	NE	4
AIKEN	SC	4
ALACHUA	FL	4
ATHENS	OH	4
BALTIMORE CITY	MD	4
BARBOUR	AL	4
BINGHAM	ID	4
BLAIR	PA	4
BREATHITT	KY	4
BUCHANAN	VA	4
BUENA VISTA	IA	4
BUFFALO	NE	4
CALLAWAY	MO	4
CANADIAN	OK	4
CARROLL	AR	4
CASS	TX	4
CATOOSA	GA	4
CHARLOTTE	FL	4
CHEROKEE	TX	4
CHESTER	PA	4
CHOCTAW	AL	4
CHRISTIAN	MO	4
CLAIBORNE	LA	4
CLAIBORNE	TN	4
CLARKE	AL	4
CLEBURNE	AR	4
CLEVELAND	OK	4
COLLIER	FL	4
CRAWFORD	IA	4
CUMBERLAND	PA	4
DOUGLAS	OR	4
DREW	AR	4
EDMONSON	KY	4
FAIRBANKS NORTH STAR	AK	4
FANNIN	GA	4
FAYETTE	GA	4
FINNEY	KS	4
FLATHEAD	MT	4
FORD	IL	4
FRANKLIN	PA	4
GRADY	GA	4
GRAND FORKS	ND	4
GRAYSON	KY	4
GRAYSON	TX	4
GREENE	TN	4
HAMBLEN	TN	4
HANCOCK	IL	4
HEMPSTEAD	AR	4
HENRY	MO	4
HUDSON	NJ	4
HUMPHREYS	TN	4
HUNT	TX	4
HURON	OH	4
IOWA	IA	4
IREDELL	NC	4
IRON	WI	4
JACKSON	KY	4
JACKSON	OK	4
JEFFERSON	OH	4
JERSEY	IL	4
LAMAR	AL	4
LANCASTER	SC	4
LAUDERDALE	TN	4
LAWRENCE	MS	4
LEAVENWORTH	KS	4
LEE	SC	4
LINCOLN	NC	4
LUMPKIN	GA	4
MAGOFFIN	KY	4
MANISTEE	MI	4
MARION	MO	4
MARSHALL	KY	4
MCCURTAIN	OK	4
MCDUFFIE	GA	4
MERCER	OH	4
MESA	CO	4
MONTGOMERY	MD	4
MONTGOMERY	TX	4
MOORE	NC	4
NAVAJO	AZ	4
NEW HANOVER	NC	4
NICOLLET	MN	4
ORANGE	IN	4
ORANGE	NC	4
OTERO	NM	4
PERRY	IN	4
PICKENS	AL	4
POLK	GA	4
POPE	AR	4
POTTAWATOMIE	OK	4
POTTAWATTAMIE	IA	4
PRESTON	WV	4
PRINCE WILLIAM	VA	4
RANDOLPH	AL	4
RANDOLPH	GA	4
RANDOLPH	NC	4
RENO	KS	4
RICHLAND	IL	4
ROANOKE CITY	VA	4
ROBESON	NC	4
ROCKINGHAM	NC	4
ROWAN	NC	4
RUTHERFORD	NC	4
SALINE	AR	4
SANDOVAL	NM	4
SANDUSKY	OH	4
SCOTT	MN	4
SENECA	OH	4
SHASTA	CA	4
SHELBY	AL	4
SHERIDAN	WY	4
STONE	MS	4
SUFFOLK	NY	4
SUMNER	TN	4
TULARE	CA	4
UNION	OH	4
WARRICK	IN	4
WASHINGTON	GA	4
WASHINGTON	KY	4
WASHINGTON	OK	4
WAYNE	NC	4
WEBSTER	MS	4
WHARTON	TX	4
WHITE	TN	4
WINSTON	AL	4
WOOD	TX	4
WYOMING	WV	4
ADAMS	OH	3
AITKIN	MN	3
ANGELINA	TX	3
APPLING	GA	3
ATLANTIC	NJ	3
AVOYELLES	LA	3
BARTON	KS	3
BARTOW	GA	3
BELMONT	OH	3
BELTRAMI	MN	3
BENTON	MN	3
BENTON	WA	3
BOONE	WV	3
BOTETOURT	VA	3
BRAXTON	WV	3
BRISTOL	VA	3
BRONX	NY	3
BUCHANAN	IA	3
BUTLER	AL	3
BUTLER	PA	3
CANYON	ID	3
CARROLL	MS	3
CARROLL	OH	3
CASS	IL	3
CASS	MO	3
CHAUTAUQUA	NY	3
CHAVES	NM	3
CHICKASAW	IA	3
CHITTENDEN	VT	3
CHURCHILL	NV	3
CLARK	AR	3
CLARK	IL	3
CLEVELAND	NC	3
COLUMBIANA	OH	3
COOKE	TX	3
CRAWFORD	KS	3
CRAWFORD	WI	3
CROW WING	MN	3
CUMBERLAND	ME	3
DAKOTA	NE	3
DAWSON	GA	3
DEFIANCE	OH	3
DELAWARE	OH	3
DELAWARE	PA	3
DICKINSON	KS	3
DICKINSON	MI	3
DODDRIDGE	WV	3
DOUGLAS	CO	3
DUNN	WI	3
ELLIS	TX	3
ELMORE	ID	3
FAIRFAX	VA	3
FAIRFIELD	OH	3
FAYETTE	IA	3
FLORENCE	SC	3
FRANKLIN	GA	3
FRANKLIN	KS	3
FULTON	AR	3
GALLATIN	MT	3
GARFIELD	CO	3
GLYNN	GA	3
GREENBRIER	WV	3
GREENE	IL	3
GREENWOOD	SC	3
HABERSHAM	GA	3
HALL	NE	3
HARDIN	IA	3
HAYWOOD	NC	3
HENRY	AL	3
HENRY	VA	3
HOWARD	AR	3
HOWARD	TX	3
HURON	MI	3
IRON	MI	3
JACKSON	FL	3
JACKSON	OR	3
JACKSON	WV	3
JEFFERSON	IN	3
JESSAMINE	KY	3
JOHNSON	MO	3
KENTON	KY	3
KNOTT	KY	3
KNOX	KY	3
LAFAYETTE	AR	3
LAMAR	MS	3
LAMPASAS	TX	3
LAWRENCE	PA	3
LEA	NM	3
LEBANON	PA	3
LEE	TX	3
LEON	TX	3
LEWIS	WV	3
LIBERTY	TX	3
LIVINGSTON	LA	3
LOUDON	TN	3
LYNCHBURG CITY	VA	3
LYON	KY	3
LYON	NV	3
MACON	AL	3
MACON	TN	3
MANASSAS CITY	VA	3
MARION	KY	3
MARLBORO	SC	3
MARTIN	KY	3
MARTIN	NC	3
MEADE	KY	3
MERCER	KY	3
MERRIMACK	NH	3
MIDLAND	MI	3
MILLE LACS	MN	3
MILLER	AR	3
MONMOUTH	NJ	3
MONROE	PA	3
MONTGOMERY	PA	3
MONTROSE	CO	3
MORGAN	KY	3
MORGAN	TN	3
MOWER	MN	3
NACOGDOCHES	TX	3
NEWAYGO	MI	3
NIAGARA	NY	3
NORTON CITY	VA	3
OCEANA	MI	3
OHIO	WV	3
ORANGE	NY	3
OUACHITA	AR	3
OZAUKEE	WI	3
PEACH	GA	3
PENDLETON	KY	3
PERRY	AL	3
PICKAWAY	OH	3
PIKE	AR	3
PITT	NC	3
PLACER	CA	3
PROVIDENCE	RI	3
PUTNAM	IL	3
PUTNAM	TN	3
PUTNAM	WV	3
RANDOLPH	AR	3
RANDOLPH	WV	3
RHEA	TN	3
RICHLAND	WI	3
SAINT CHARLES	LA	3
SAINT JOHNS	FL	3
SAINT LANDRY	LA	3
SALINE	KS	3
SAN AUGUSTINE	TX	3
SANTA BARBARA	CA	3
SCOTT	KY	3
SEWARD	KS	3
SHARKEY	MS	3
SHARP	AR	3
SHELBY	KY	3
SMITH	MS	3
SONOMA	CA	3
STARK	ND	3
STEWART	GA	3
SUWANNEE	FL	3
SWITZERLAND	IN	3
TANEY	MO	3
TERREBONNE	LA	3
TOM GREEN	TX	3
TRIPP	SD	3
UPSHUR	WV	3
VAN ZANDT	TX	3
VERNON	WI	3
WABASHA	MN	3
WALLA WALLA	WA	3
WAPELLO	IA	3
WARREN	MO	3
WARREN	TN	3
WASECA	MN	3
WASHINGTON	MD	3
WASHINGTON	TX	3
WETZEL	WV	3
WILKES	NC	3
YORK	PA	3
YUBA	CA	3
ADAMS	PA	2
ALAMANCE	NC	2
ALAMOSA	CO	2
ALBANY	WY	2
ALBEMARLE	VA	2
ALLEN	KS	2
ALLEN	KY	2
ALLEN	LA	2
ANDERSON	KS	2
AROOSTOOK	ME	2
AUDRAIN	MO	2
BANDERA	TX	2
BARROW	GA	2
BARTON	MO	2
BAY	MI	2
BEAUREGARD	LA	2
BECKER	MN	2
